angulo;distancia
40;1,855
40,25;1,866
40,5;1,876
40,75;1,885
41;1,889
41,25;1,899
41,5;1,907
41,75;1,917
42;1,925
42,25;1,807
42,5;1,711
42,75;1,704
43;1,697
43,25;1,687
43,5;1,678
43,75;1,67
44;1,66
44,25;1,661
44,5;1,654
44,75;1,645
45;1,634
45,25;1,637
45,5;1,627
45,75;1,626
46;1,617
46,25;1,61
46,5;1,602
46,75;1,599
47;1,587
47,25;1,571
47,5;1,563
47,75;1,554
48;1,558
48,25;1,552
48,5;1,547
48,75;1,548
49;1,536
49,25;1,537
49,5;1,532
49,75;1,534
50;1,532
50,25;1,525
50,5;1,521
50,75;1,51
51;1,51
51,25;1,51
51,5;1,5
51,75;1,5
52;1,491
52,25;1,49
52,5;1,482
52,75;1,482
53;1,473
53,25;1,464
53,5;1,464
53,75;1,454
54;1,454
54,25;1,455
54,5;1,446
54,75;1,437
55;1,436
55,25;1,436
55,5;1,434
55,75;1,428
56;1,428
56,25;1,42
56,5;1,419
56,75;1,412
57;1,412
57,25;1,412
57,5;1,405
57,75;1,403
58;1,397
58,25;1,397
58,5;1,388
58,75;1,397
59;1,388
59,25;1,38
59,5;1,381
59,75;1,381
60;1,372
60,25;1,372
60,5;1,371
60,75;1,363
61;1,364
61,25;1,36
61,5;1,351
61,75;1,346
62;1,339
62,25;1,34
62,5;1,34
62,75;1,333
63;1,335
63,25;1,323
63,5;1,323
63,75;1,307
64;1,315
64,25;1,323
64,5;1,317
64,75;1,316
65;1,311
65,25;1,311
65,5;1,32
65,75;1,314
66;1,313
66,25;1,314
66,5;1,314
66,75;1,305
67;1,314
67,25;1,307
67,5;1,307
67,75;1,307
68;1,305
68,25;1,295
68,5;1,295
68,75;1,291
69;1,287
69,25;1,287
69,5;1,285
69,75;1,276
70;1,276
70,25;1,269
70,5;1,263
70,75;1,242
71;0,966
71,25;0,749
71,5;0,685
71,75;0,643
72;0,616
72,25;0,583
72,5;0,576
72,75;0,571
73;0,57
73,25;0,554
73,5;0,559
73,75;0,549
74;0,546
74,25;0,542
74,5;0,541
74,75;0,535
75;0,539
75,25;0,542
75,5;0,546
75,75;0,545
76;0,54
76,25;0,544
76,5;0,543
76,75;0,549
77;0,541
77,25;0,542
77,5;0,553
77,75;0,544
78;0,551
78,25;0,538
78,5;0,536
78,75;0,545
79;0,546
79,25;0,548
79,5;0,556
79,75;0,56
80;0,563
80,25;0,569
80,5;0,571
80,75;0,57
81;0,579
81,25;0,586
81,5;0,582
81,75;0,592
82;0,592
82,25;0,595
82,5;0,595
82,75;0,597
83;0,599
83,25;0,602
83,5;0,602
83,75;0,601
84;0,601
84,25;0,599
84,5;0,593
84,75;0,596
85;0,594
85,25;0,592
85,5;0,598
85,75;0,596
86;0,592
86,25;0,591
86,5;0,583
86,75;0,576
87;0,57
87,25;0,566
87,5;0,566
87,75;0,566
88;0,566
88,25;0,555
88,5;0,557
88,75;0,547
89;0,553
89,25;0,553
89,5;0,544
89,75;0,537
90;0,549
90,25;0,539
90,5;0,541
90,75;0,545
91;0,544
91,25;0,544
91,5;0,543
91,75;0,545
92;0,545
92,25;0,545
92,5;0,545
92,75;0,544
93;0,627
93,25;0,688
93,5;0,775
93,75;0,873
94;1,011
94,25;1,824
94,5;1,826
94,75;1,834
95;1,835
95,25;1,835
95,5;1,835
95,75;1,834
96;1,842
96,25;1,834
96,5;1,833
96,75;1,842
97;1,833
97,25;1,842
97,5;1,842
97,75;1,841
98;1,84
98,25;1,851
98,5;1,835
98,75;1,851
99;1,85
99,25;1,843
99,5;1,271
99,75;1,047
100;0,855
100,25;0,826
100,5;0,817
100,75;0,812
101;0,799
101,25;0,793
101,5;0,794
101,75;0,782
102;0,783
102,25;0,782
102,5;0,782
102,75;0,785
103;0,78
103,25;0,785
103,5;0,775
103,75;0,778
104;0,782
104,25;0,775
104,5;0,782
104,75;0,769
105;0,775
105,25;0,772
105,5;0,781
105,75;0,778
106;0,766
106,25;0,775
106,5;0,772
106,75;0,782
107;0,774
107,25;0,788
107,5;0,788
107,75;0,795
108;0,796
108,25;0,796
108,5;0,792
108,75;0,789
109;0,808
109,25;0,806
109,5;0,812
109,75;0,821
110;0,803
110,25;0,814
110,5;0,826
110,75;0,857
111;0,853
111,25;0,863
111,5;0,854
111,75;0,799
112;0,752
112,25;0,737
112,5;0,737
112,75;0,733
113;0,734
113,25;0,73
113,5;0,734
113,75;0,727
114;0,733
114,25;0,729
114,5;0,727
114,75;0,732
115;0,735
115,25;0,722
115,5;0,74
115,75;0,74
116;0,74
116,25;0,737
116,5;0,741
116,75;0,743
117;0,74
117,25;0,748
117,5;0,748
117,75;0,849
118;0,962
118,25;0,976
118,5;0,97
118,75;0,983
119;0,986
119,25;0,983
119,5;0,989
119,75;0,99
120;1,001
120,25;1,002
120,5;1,011
120,75;1,011
121;1,005
121,25;1,018
121,5;1,02
121,75;1,038
122;1,044
122,25;1,041
122,5;1,051
122,75;1,184
123;1,387
123,25;2,159
123,5;2,162
123,75;2,181
124;2,172
124,25;2,193
124,5;2,208
124,75;2,231
125;2,232
125,25;2,246
125,5;2,243
125,75;2,258
126;2,261
126,25;2,272
126,5;2,273
126,75;2,275
127;2,297
127,25;2,3
127,5;2,308
127,75;2,301
128;2,315
128,25;2,316
128,5;2,452
128,75;3,112
129;3,146
129,25;3,161
129,5;3,168
129,75;3,188
130;3,199
130,25;3,203
130,5;3,221
130,75;3,232
131;3,249
131,25;3,267
131,5;3,282
131,75;3,297
132;3,311
132,25;1,083
132,5;1,07
132,75;1,064
133;1,061
133,25;1,049
133,5;1,046
133,75;1,048
134;1,05
134,25;1,057
134,5;1,056
134,75;1,05
135;1,051
135,25;1,06
135,5;1,054
135,75;1,057
136;1,06
136,25;1,057
136,5;1,054
136,75;1,063
137;1,071
137,25;1,069
137,5;1,064
137,75;1,078
138;1,074
138,25;1,077
138,5;1,072
138,75;1,07
139;1,074
139,25;1,064
139,5;1,056
139,75;1,061
140;1,06
